Name,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,ShP,ChK,H/F,StH,ShA,End,Rgh,Pas,Agr
Guy Hebert,ANH,G,31,6,4,3,3,3,2,0,0,0,0,3,3,3,3
Mikhail Shtalenkov,ANH,G,35,6,2,2,2,2,3,0,0,0,0,2,2,2,2
Jon Casey,BOS,G,30,2,4,3,3,4,3,0,0,0,0,4,3,4,3
Vincent Riendeau,BOS,G,37,6,3,3,2,2,2,0,0,0,0,3,2,2,2
Dominik Hasek,BUF,G,39,4,5,3,5,5,4,0,0,0,0,5,6,5,6
Grant Fuhr,BUF,G,31,7,5,4,5,5,5,0,1,0,0,3,4,5,5
Mike Vernon,CGY,G,30,4,3,4,4,4,4,0,0,0,0,4,4,4,4
Trevor Kidd,CGY,G,37,3,3,3,2,2,2,0,0,0,0,3,3,2,2
Ed Belfour,CHI,G,30,6,6,4,6,6,5,0,0,0,0,6,6,5,5
Jeff Hackett,CHI,G,31,5,2,3,1,1,2,0,0,0,0,2,2,2,2
Andy Moog,DAL,G,35,4,3,3,1,2,3,0,0,0,0,3,2,3,3
Darcy Wakaluk,DAL,G,34,6,3,3,3,3,4,0,0,0,0,3,3,4,4
Bob Essensa,DET,G,35,3,3,4,4,3,3,0,0,0,0,3,3,3,3
Chris Osgood,DET,G,30,3,4,3,3,4,3,0,0,0,0,3,3,3,3
Bill Ranford,EDM,G,30,4,5,3,4,3,5,0,0,0,0,4,4,5,5
Fred Brathwaite,EDM,G,31,5,2,2,2,2,2,0,0,0,0,2,1,2,2
John Vanbiesbrk,FLA,G,34,5,4,3,4,5,3,0,0,0,0,4,4,5,5
Mark Fitzpatrik,FLA,G,30,7,3,4,2,2,3,0,0,0,0,3,4,3,4
Sean Burke,HFD,G,1,10,4,3,2,2,3,0,0,0,0,3,3,4,4
Jeff Reese,HFD,G,35,4,2,3,3,2,2,0,0,0,0,2,2,2,2
Frank Pietrngelo,HFD,G,40,6,3,3,1,1,3,0,0,0,0,2,2,2,2
Kelly Hrudey,LA,G,32,6,3,3,3,4,3,0,0,0,0,2,2,2,3
Robb Stauber,LA,G,35,6,2,3,4,4,3,0,0,0,0,2,2,2,2
Patrick Roy,MTL,G,33,6,6,4,3,5,5,0,0,0,0,5,6,6,6
Ron Tugnutt,MTL,G,1,2,2,3,2,3,1,0,0,0,0,1,1,2,2
Chris Terreri,NJ,G,31,2,4,4,4,4,3,0,0,0,0,4,4,3,3
Martin Brodeur,NJ,G,30,7,5,3,3,4,4,0,0,0,0,5,5,5,5
Ron Hextall,NYI,G,72,7,3,4,4,4,3,0,0,0,0,2,2,3,3
Jamie McLennan,NYI,G,29,7,3,3,2,2,2,0,0,0,0,2,2,2,2
Mike Richter,NYR,G,35,7,5,4,3,4,4,0,0,0,0,5,5,5,5
Glenn Healy,NYR,G,30,5,3,4,4,3,3,0,0,0,0,3,3,2,2
Craig Billington,OTW,G,1,4,3,4,2,2,1,0,0,0,0,2,2,2,2
Mark LaForest,OTW,G,35,8,2,2,1,2,1,0,0,0,0,1,1,1,1
Dominic Roussel,PHI,G,33,6,3,3,3,3,3,0,0,0,0,3,3,2,2
Tommy Soderstrom,PHI,G,30,3,3,3,3,4,2,0,0,0,0,2,3,2,3
Tom Barrasso,PIT,G,35,10,4,4,5,5,4,0,1,0,0,4,3,4,4
Ken Wregget,PIT,G,31,8,2,3,3,3,2,0,0,0,0,3,2,3,2
Stephane Fiset,QUE,G,35,5,3,3,3,3,2,0,0,0,0,3,2,2,2
Jocelyn Thibault,QUE,G,41,5,3,3,2,2,2,0,0,0,0,2,2,2,2
Arturs Irbe,SJ,G,32,5,4,4,4,4,3,0,0,0,0,4,4,4,4
Jim Waite,SJ,G,29,6,2,3,2,2,2,0,0,0,0,2,2,2,2
Curtis Joseph,STL,G,31,6,5,4,5,6,4,0,0,0,0,4,4,4,4
Jim Hrivnak,STL,G,29,6,2,3,2,2,2,0,0,0,0,2,2,2,2
Daren Puppa,TB,G,93,9,4,4,4,5,3,0,1,0,0,3,3,4,4
Wendell Young,TB,G,1,6,3,3,2,2,3,0,0,0,0,2,2,2,2
Felix Potvin,TOR,G,29,6,4,4,6,6,4,0,0,0,0,5,4,5,4
Damian Rhodes,TOR,G,1,5,2,3,2,2,3,0,0,0,0,3,3,2,2
Kirk McLean,VAN,G,1,6,4,4,4,4,4,0,0,0,0,4,4,4,4
Kay Whitmore,VAN,G,35,5,3,3,4,5,2,0,0,0,0,2,3,2,3
Don Beaupre,WSH,G,33,4,3,4,3,3,3,0,0,0,0,4,3,4,3
Rick Tabaracci,WSH,G,31,6,3,3,1,1,2,0,0,0,0,3,3,3,2
Byron Dafoe,WSH,G,35,4,2,2,1,0,2,0,0,0,0,2,2,2,2
Tim Cheveldae,WPG,G,29,6,3,4,4,4,3,0,0,0,0,3,3,3,3
Mike O'Neill,WPG,G,1,4,2,2,2,2,2,0,0,0,0,2,2,1,2
Patrick Roy,ASE,G,33,6,6,4,3,5,5,0,0,0,0,5,6,6,6
Mike Richter,ASE,G,35,7,5,4,3,4,4,0,0,0,0,5,5,5,5
John Vanbiesbrk,ASE,G,34,5,4,3,4,5,3,0,0,0,0,4,4,5,5
Curtis Joseph,ASW,G,31,6,5,4,5,6,4,0,0,0,0,4,4,4,4
